Block,Number,reading subset,recall subset,condition,trial type,task,fixa,clue,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,Question1,Question2,Question3
3,16,16,,pure reading ,formal trial,reading,+,xxxxx,During the,heat of,"the day,",mosquitoes,rest in,a cool,place,and,wait,till,evening,to,hunt,for,food.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,27,27,3,conflict reading,formal trial,reading,+,gift,Horses,can,perform a,number of,mental,challenges,that include,food,procurement,and,identification,of individuals,within,a social,system.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,4,4,,pure reading ,formal trial,reading,+,xxxxx,Ankle,problems,are very,common,and,mild,pain,can often,be,treated,at home,though,it takes,time,to cure.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,36,36,12,conflict reading,formal trial,reading,+,car,The mining,of rocks,creates,a negative,impact,on the,environment,both,during,the mining,operations,and after,the mine,has,closed.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,8,8,,pure reading ,formal trial,reading,+,xxxxxxxxxx,Ships,have been,important,contributors,to,human,migration,and,"commerce,",which have,supported the,spread of,colonization,and slave,trade.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,6,6,,pure reading ,formal trial,reading,+,xxxx,Dolls,for girls,tend to,represent,feminine,traits and,come,with,accessories,such as,"clothing,",kitchen,"appliances,",furniture,and jewelry.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,11,11,,pure reading ,formal trial,reading,+,xxxxxxxxxx,String,could,be a,component,in other,"tools,",and in,devices,as,diverse,as,"weapons,",musical,"instruments,",and toys.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,32,32,8,conflict reading,formal trial,reading,+,restaurant,Salt is,a naturally,occurring,constituent,in foods,such as,meats,and,"vegetables,",it is,present,in,very,small,quantities.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,17,17,,pure reading ,formal trial,reading,+,xxxxxx,Lobsters,are,omnivores,and typically,eat,live,prey,such as,"fish,","molluscs,",other,"crustaceans,","worms,",and some,plants.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,13,13,,pure reading ,formal trial,reading,+,xxxxxxx,Film is,considered,to be,an important,art,"form,",a source,of,popular,"entertainment,",and a,medium,for,educating,citizens.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,35,35,11,conflict reading,formal trial,reading,+,instrument,Lips,are very,sensitive,"to touch,","warmth,","and cold,",they are,therefore,an important,aid for,exploring,unknown,objects,for,babies.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,5,5,,pure reading ,formal trial,reading,+,xxxxx,Today most,newspapers,are published,"online,",with,frequent,updates,throughout,"the day, and",some have,abandoned,their,print,versions,entirely.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,38,38,14,conflict reading,formal trial,reading,+,decoration,Intelligence,is,most,often,studied,in humans,but,has also,been,observed,"in animals,",such as,dolphins,and,elephants.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,37,37,13,conflict reading,formal trial,reading,+,meeting,Some,rope,is still,made ,from,natural,"fibres,",like coir,"and sisal,",despite the ,dominance,of synthetic,fibres,such as,nylon.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,40,40,16,conflict reading,formal trial,reading,+,table,In many,"cases,",stains,are,affected,by heat,and may,become,reactive,enough,to,bond,with the,underlying,material.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,14,14,,pure reading ,formal trial,reading,+,xxxxxxxxxx,Since,the early,"1900s,",coloured,scarves,with,tassles,have been,worn by,fans of,association,football,teams,across,the world.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,22,22,,pure reading ,catch trial,reading,+,xxxx,In many,"countries,",driving,a truck,requires,a special,driving,"license, the",requirements,and,limitations,vary,with,each,jurisdiction.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,3,3,,pure reading ,formal trial,reading,+,xxxx,Toys for,infants,make use of,distinctive,"sounds,",bright,"colors, and",unique,"textures,",which,enable,infants to,recognize,shapes,and colors.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,30,30,6,conflict reading,formal trial,reading,+,meat,Seaweeds,are,sometimes,used as,animal,"feed,",and have,long been,eaten by,"sheep,",horses,and cattle,in,Northern,Europe.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,29,29,5,conflict reading,formal trial,reading,+,house,Kettles,can be,heated,either by,being,placed,on,"a stove,",or by,their,own,internal,electric,heating,element.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,47,47,23,conflict reading,catch trial,reading,+,diamond,Some,bridges,are built,much,taller,than,"necessary,","for example,",the moon,bridge,which is,often,found in,east-Asian,gardens.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,46,46,22,conflict reading,catch trial,reading,+,popcorn,Professors,often,conduct,original,research,and may,mentor and,supervise,graduate,students,conducting,research for,a thesis,or,dissertation.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
