EXPERIMENT DATA:,One-Back Task
Start Time,3932.3494372999994
0-Back Start,3932.3503316999995,,,,One-Back Task,1,9447683,,,
NoGoStimulus Start,3935.990838299971,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3936.6466189000057,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3938.3321257999633,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3939.6983118999633,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3941.494897399971,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3942.745036599983,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3945.1602588999667,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3945.785376999993,True,,,One-Back Task,1,9447683,None,OneBack,
OneBackStimulus Start,3947.5924748999532,,,,One-Back Task,1,9447683,,OneBack,
OneBackStimulus End,3951.8216762999655,False,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3953.9913541999995,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3954.859891899978,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3957.24408699997,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3957.9110274999985,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3959.8768641999923,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3960.959056099993,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3963.2192524999846,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3964.0016905000084,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3966.5048436999787,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3967.044959299965,True,,,One-Back Task,1,9447683,None,OneBack,
OneBackStimulus Start,3969.2005989999743,,,,One-Back Task,1,9447683,,OneBack,
OneBackStimulus End,3973.0719812999596,False,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3975.038616399979,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3976.1190925999545,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3978.3534365999512,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3979.1611160999746,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3981.581235699996,,,,One-Back Task,1,9447683,,OneBack,
NoGoStimulus End,3982.202684799966,True,,,One-Back Task,1,9447683,None,OneBack,
NoGoStimulus Start,3984.0973404999822,,,,One-Back Task,1,9447683,,OneBack,
