,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans
0,65,16  +  6,0,1.45,238.45,20        22,238.45,1.45,239.9, ,239.9,240,0.1,2
1,11,16  +  7,3,1.45,31.45,21        23,31.45,1.45,32.9, ,32.9,33,0.1,2
2,4,17  +  7,6,1.45,10.45,26        24,10.45,1.45,11.9, ,11.9,12,0.1,2
3,26,16  +  5,9,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1
4,23,14  +  9,12,1.45,82.45,21        23,82.45,1.45,83.9, ,83.9,84,0.1,2
5,19,14  +  8,15,1.45,55.45,22        24,55.45,1.45,56.9, ,56.9,57,0.1,1
6,20,17  +  8,18,1.45,58.45,25        23,58.45,1.45,59.9, ,59.9,60,0.1,1
7,15,17  +  4,21,1.45,43.45,23        21,43.45,1.45,44.9, ,44.9,45,0.1,2
8,55,18  +  9,24,1.45,193.45,27        25,193.45,1.45,194.9, ,194.9,195,0.1,1
9,42,17  +  8,27,1.45,154.45,27        25,154.45,1.45,155.9, ,155.9,156,0.1,2
10,63,19  +  4,30,1.45,232.45,23        25,232.45,1.45,233.9, ,233.9,234,0.1,1
11,77,18  +  3,33,1.45,274.45,23        21,274.45,1.45,275.9, ,275.9,276,0.1,2
12,62,14  +  9,36,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,1
13,61,19  +  3,39,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1
14,47,16  +  7,42,1.45,169.45,23        21,169.45,1.45,170.9, ,170.9,171,0.1,1
15,32,18  +  4,45,1.45,109.45,20        22,109.45,1.45,110.9, ,110.9,111,0.1,2
16,29,19  +  6,48,1.45,100.45,25        23,100.45,1.45,101.9, ,101.9,102,0.1,1
17,68,16  +  5,51,1.45,247.45,19        21,247.45,1.45,248.9, ,248.9,249,0.1,2
18,75,16  +  6,54,1.45,268.45,24        22,268.45,1.45,269.9, ,269.9,270,0.1,2
19,24,16  +  8,57,1.45,85.45,26        24,85.45,1.45,86.9, ,86.9,87,0.1,2
20,17,19  +  6,60,1.45,49.45,27        25,49.45,1.45,50.9, ,50.9,51,0.1,2
21,53,14  +  8,63,1.45,187.45,24        22,187.45,1.45,188.9, ,188.9,189,0.1,2
22,64,17  +  9,66,1.45,235.45,24        26,235.45,1.45,236.9, ,236.9,237,0.1,2
23,43,17  +  5,69,1.45,157.45,22        20,157.45,1.45,158.9, ,158.9,159,0.1,1
24,45,15  +  9,72,1.45,163.45,24        26,163.45,1.45,164.9, ,164.9,165,0.1,1
25,37,17  +  6,75,1.45,124.45,23        25,124.45,1.45,125.9, ,125.9,126,0.1,1
26,21,18  +  3,78,1.45,76.45,23        21,76.45,1.45,77.9, ,77.9,78,0.1,2
27,48,17  +  4,81,1.45,172.45,23        21,172.45,1.45,173.9, ,173.9,174,0.1,2
28,79,13  +  9,84,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2
29,58,19  +  7,87,1.45,202.45,26        24,202.45,1.45,203.9, ,203.9,204,0.1,1
30,52,12  +  9,90,1.45,184.45,21        23,184.45,1.45,185.9, ,185.9,186,0.1,1
31,50,13  +  9,93,1.45,178.45,20        22,178.45,1.45,179.9, ,179.9,180,0.1,2
